news_headline,news_article,news_category
"Goa restaurant shares pics of Kim Sharma & Leander Paes, dating reports surface","Indian tennis player Leander Paes and actress Kim Sharma sparked dating rumours after a Goa restaurant shared their pictures on Instagram. ""Biscuit & Chai hosting Leander Paes and Kim Sharma at Pousada by the Beach,"" the caption in one of the posts read. Kim also shared her photo, seemingly from the same day, and credited 'Mr P' for it.",sports
"Experienced jokes about Black people, afro combs, fried chicken in F1: Engineer","An automotive engineer revealed he experienced jokes about Black people, afro combs, fried chicken and crime rates in Africa at his F1 team. Calling them ""inappropriate"", he added, ""I felt powerless...I was the only Black person trackside in my team."" His case study was published in a report by Hamilton Commission, set up to improve Black representation in UK motorsport.",sports
"Pics of Pak's Shakeel from England series go viral, fans call him 'Kohli's lookalike'","Pictures of Pakistan batsman Saud Shakeel from the recently-concluded ODI series against England have gone viral, with fans calling him Virat Kohli's lookalike. ""Kohli comes to rescue Pakistan team,"" a fan tweeted. ""Kohli saab has reached Pakistan in search of 71st hundred,"" another commented. ""Anybody else thinks that Shakeel in a helmet is mirror image of Kohli?"" another tweet read.",sports
I will eat ice-cream with you after the Tokyo Olympics: PM Modi to PV Sindhu ,"During an online interaction with India's Tokyo-bound athletes, PM Narendra Modi asked ace badminton player PV Sindhu if she was banned from eating ice-cream just like during the 2016 Rio Olympics. Sindhu said she couldn't eat a lot of ice-cream as she had to control her diet. PM then said, ""When you come back...I'll have ice-cream with you.""",sports
"Mayweather mocks McGregor's broken leg with edited photo after winning $35,000 in bet","Ex-boxing champion Floyd Mayweather mocked mixed martial artist Conor McGregor for breaking his leg in his UFC fight against Dustin Poirier. Mayweather shared an edited picture showing McGregor having twisted foot and wrote, ""Y’all got it twisted! I like how his shoes fit. Now, do the stanky leg."" Earlier, Mayweather won over $35,000 in profit after betting on Poirier's win.",sports
"Official song for India's Olympics contingent by AR Rahman, Ananya launched","Union Sports Minister Anurag Thakur on Wednesday virtually launched 'Hindustani Way', the official cheer song for India's contingent for Tokyo Olympics 2020. The music has been composed by AR Rahman, concept and vocals are by Ananya Birla. ""I thank AR Rahman and Ananya Birla for taking this initiative. They did this song with a lot of passion,"" Anurag Thakur said.",sports
Team India player tests COVID-19 positive in England during 20-day break: Reports,"One of the 23 Team India players in the ongoing tour of England has tested positive for COVID-19 during the 20-day break and will not be travelling with the team to Durham on Thursday, PTI reported. The player is largely asymptomatic currently and he is in quarantine at an acquaintance's place, PTI quoted a BCCI source as saying.",sports
"Marsh produces career-best batting, bowling figures in same T20I as Australia beat WI",Australia all-rounder Mitchell Marsh produced both his career-best batting and bowling figures in the same match as Australia defeated West Indies by four runs in the fourth T20I. Marsh scored 75 runs off 44 deliveries to help Australia put up a total of 189/6. He produced bowling figures of 4-0-24-3 as West Indies were restricted to 185-6.,sports
"Chris Eubank's son died from massive heart attack while in the sea, says wife","Salma Abdelati, the wife of ex-boxing world champion Chris Eubank's son Sebastian, said her 29-year-old husband died after suffering ""massive"" heart attack while watching sunset in the sea in Dubai. ""He probably couldn't have been saved even if out of the water,"" she added. ""There was evidence of a pre-existing heart condition we were all unaware of,"" she further stated.",sports
"BCCI advised Team India players to avoid going to Wimbledon, Euro during break: Reports","BCCI Secretary Jay Shah had advised Team India players to avoid going to Wimbledon and Euro Championships in England during their 20-day break, PTI reported. Shah told them to avoid crowded places as Covishield, the vaccine administered to the team, only provided protection and not full immunity. A Team India player has tested positive for COVID-19 in England.",sports
What is the new points system for World Test Championship?,"ICC has introduced a new points system for the World Test Championship 2021-23. Rather than each series being worth the same number of points like in the first edition, each match will be worth the same number of points now. A team will get 12 points for winning a match, four for a draw and six for a tie.",sports
Roger Federer withdraws from Tokyo Olympics due to knee injury,"Twenty-time Grand Slam champion Roger Federer has withdrawn from Tokyo Olympics due to knee injury he sustained during the grass-court season. ""I'm greatly disappointed...as it has been an honour and highlight of my career each time I've represented Switzerland,"" he said. The 39-year-old added that he is planning to return to ATP Tour later in the year following rehabilitation work.
",sports
"F1 driver Lando's £40,000 watch stolen outside Wembley Stadium after Euro final","British-Belgian Formula One driver Lando Norris was robbed outside Wembley Stadium in London after attending the Euro 2020 final on Sunday. The 21-year-old had his personalised £40,000 watch stolen while he was going towards his car. McLaren F1 team revealed that a police investigation is underway and, although Lando was left unhurt, he is ""still in shock"" after the incident.",sports
